nome,categoria,porcao_g,kcal,prot_g,carb_g,gord_g,contexto_culinario,incompativel_com,velocidade_absorcao,preco
"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), s/ sal, <i>Curcubita pepo</i> L., ",Outros Carboidratos,100.0,26,1.1,4.2,0.8,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Acarajé, c/ sal, (feijão fradinho, camarão seco, pimenta malagueta, frito, c/ azeite de dendê, cebola, c/ sal), ",Peixe,100.0,270,8.3,19.0,19.8,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$$
"Acarajé, s/ sal, (feijão fradinho, camarão seco, pimenta malagueta, frito, c/ azeite de dendê, cebola, s/ sal), ",Peixe,100.0,271,8.3,19.1,19.9,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$$
"Acelga, cozida, drenada, s/ óleo, c/ sal, ",Outros Carboidratos,100.0,22,1.5,4.1,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Acelga, cozida, drenada, s/ óleo, s/ sal, ",Outros Carboidratos,100.0,22,1.5,4.4,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Acelga, crua, ",Legumes,100.0,23,1.4,4.6,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$
"Acelga, refogada (c/ óleo, cebola e alho), c/ sal, ",Outros Carboidratos,100.0,35,1.6,4.7,1.3,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Acelga, refogada, (c/ óleo, cebola e alho), s/ sal, ",Outros Carboidratos,100.0,36,1.6,5.0,1.3,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Acerola, madura, polpa, Malpighia spp., ",Frutas,100.0,30,0.7,6.9,0.4,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$
"Achocolatado, ""Ovomaltine"", Ovomaltine, ",Ovos,100.0,373,0.0,93.3,0.0,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$
"Achocolatado, em pó (média diferentes amostras), ",Doces/Sobremesas,100.0,397,4.1,91.6,2.9,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$$
"Achocolatado, em pó, Nescau, ",Doces/Sobremesas,100.0,390,5.0,88.2,3.0,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$$
"Achocolatado, em pó, sem adição de açúcar, ",Doces/Sobremesas,100.0,362,15.5,71.9,3.0,Café|Lanche,Almoço|Jantar|Lixo,Muito Rápida,$$
"Achocolatado, em pó, Toddy, ",Doces/Sobremesas,100.0,398,3.0,93.3,1.9,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$$
"Adoçante, aspartame, em pó, ",Doces/Sobremesas,100.0,365,2.2,89.1,0.0,Café|Lanche,Almoço|Jantar|Lixo,Muito Rápida,$$
"Adoçante, sacarina, em pó, ",Doces/Sobremesas,100.0,360,0.0,90.1,0.0,Café|Lanche,Almoço|Jantar|Lixo,Muito Rápida,$$
"Adoçante, sucralose, em pó, ",Doces/Sobremesas,100.0,365,0.0,91.2,0.0,Café|Lanche,Almoço|Jantar|Lixo,Muito Rápida,$$
"Agrião, cozido, drenado, c/ óleo de soja, c/ sal, ",Outros Carboidratos,100.0,47,3.5,2.9,2.9,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Agrião, cozido, drenado, c/ óleo de soja, s/ sal, ",Outros Carboidratos,100.0,47,3.5,2.9,2.9,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Agrião, cozido, drenado, s/ óleo, c/ sal, ",Outros Carboidratos,100.0,26,3.6,3.0,0.5,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Agrião, cozido, drenado, s/ óleo, s/ sal, ",Outros Carboidratos,100.0,27,3.6,3.0,0.5,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Agrião, cru, Nasturtium officinale, ",Legumes,100.0,23,3.2,2.6,0.5,Almoço|Jantar,Café|Lanche|Lixo,Média,$
"Aipo (salsão), cozido, drenado, s/ óleo, c/ sal, ",Outros Carboidratos,100.0,19,0.8,4.4,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Aipo (salsão), cozido, drenado, s/ óleo, s/ sal, ",Outros Carboidratos,100.0,21,0.8,4.7,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Aipo (salsão), cru, <i>Apium graveolens</i> L., ",Legumes,100.0,19,0.8,4.3,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$
"Aipo (salsão), refogado (c/ óleo, cebola e alho), c/ sal, ",Outros Carboidratos,100.0,42,1.3,7.0,1.3,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Aipo (salsão), refogado (c/ óleo, cebola e alho), s/ sal, ",Outros Carboidratos,100.0,43,1.3,7.4,1.3,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Alcachofra, cozida, drenada, s/ óleo, c/ sal, Cynara scolymus, ",Outros Carboidratos,100.0,51,2.9,11.9,0.3,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Alcachofra, cozida, drenada, s/ sal, Cynara scolymus, ",Outros Carboidratos,100.0,51,2.9,11.9,0.3,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
"Alcaparra, conserva, Capparis spinosa, ",Outros Carboidratos,100.0,37,2.4,4.9,0.9,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
